trial_id,inner_optimizer.lr,inner_optimizer.clipping.quantile_level,inner_optimizer.clipping.quantile_lr,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0030,0.01,0.7,0.001,5.8926801681518555,475,5.8926801681518555,475,5.8926801681518555,475
trial_0031,0.01,0.7,0.01,5.854372365134103,275,5.954533032008579,475,5.854372365134103,275
trial_0032,0.01,0.7,0.1,5.8234642914363315,275,6.106856857027326,475,5.8234642914363315,275
trial_0033,0.01,0.8,0.001,5.885748726981027,475,5.885748726981027,475,5.885748726981027,475
trial_0034,0.01,0.8,0.01,5.8456874915531705,275,5.966208594185965,475,5.8456874915531705,275
trial_0035,0.01,0.8,0.1,5.83952682358878,275,6.156353303364345,475,5.83952682358878,275
trial_0036,0.01,0.9,0.001,5.8814785821097235,450,5.88252718108041,475,5.8814785821097235,450
trial_0037,0.01,0.9,0.01,5.861022983278547,450,5.978142091206142,475,5.861022983278547,450
trial_0038,0.01,0.9,0.1,5.863586153302874,200,6.2187579699925015,475,5.863586153302874,200
trial_0039,0.01,0.95,0.001,5.876875128064837,450,5.883114644459316,475,5.876875128064837,450
trial_0040,0.01,0.95,0.01,5.861353584698269,450,5.988259536879403,475,5.861353584698269,450
trial_0041,0.01,0.95,0.1,5.851216179983957,200,6.233835731233869,475,5.851216179983957,200
trial_0042,0.01,0.99,0.001,5.872621161597116,450,5.882618291037423,475,5.872621161597116,450
trial_0043,0.01,0.99,0.01,5.85897045476096,450,5.991880076272147,475,5.85897045476096,450
trial_0044,0.01,0.99,0.1,5.847834382738386,200,6.250386033739362,475,5.847834382738386,200
trial_0045,0.05,0.7,0.001,5.83726521900722,100,5.987284064292908,475,5.83726521900722,100
trial_0046,0.05,0.7,0.01,5.883644104003906,275,6.4883350644792825,475,5.883644104003906,275
trial_0047,0.05,0.7,0.1,5.840602057320731,275,6.958196231297085,475,5.840602057320731,275
trial_0049,0.05,0.8,0.01,5.844229715211051,275,6.489907435008457,475,5.844229715211051,275
trial_0048,0.05,0.8,0.001,5.834500755582537,100,5.993884222848075,475,5.834500755582537,100
trial_0050,0.05,0.8,0.1,5.939724343163626,275,7.3966561044965475,475,5.939724343163626,275
trial_0051,0.05,0.9,0.001,5.832486391067505,100,5.999074186597552,475,5.832486391067505,100
trial_0053,0.05,0.9,0.1,5.889648199081421,275,7.922906398773193,475,5.889648199081421,275
trial_0052,0.05,0.9,0.01,5.897301094872611,275,6.526095458439419,475,5.897301094872611,275
trial_0054,0.05,0.95,0.001,5.82957352910723,100,5.999756268092564,475,5.82957352910723,100
trial_0055,0.05,0.95,0.01,5.891129289354597,275,6.551333699907575,475,5.891129289354597,275
trial_0056,0.05,0.95,0.1,5.902160099574497,275,8.011511870792933,475,5.902160099574497,275
trial_0057,0.05,0.99,0.001,5.82814451626369,100,6.003847564969744,475,5.82814451626369,100
trial_0058,0.05,0.99,0.01,5.899952241352627,275,6.629151787076678,475,5.899952241352627,275
trial_0059,0.05,0.99,0.1,5.899682862418039,275,8.71384688786098,475,5.899682862418039,275
trial_0060,0.1,0.7,0.001,5.885753835950579,450,6.21393735068185,475,5.885753835950579,450
trial_0061,0.1,0.7,0.01,5.9251616682325094,275,6.855758564812796,475,5.9251616682325094,275
trial_0062,0.1,0.7,0.1,6.092755828584943,300,9.957627432686943,475,6.092755828584943,300
trial_0063,0.1,0.8,0.001,5.869696531976972,450,6.20760760988508,475,5.869696531976972,450
trial_0064,0.1,0.8,0.01,5.933098316192627,425,7.167778219495501,475,5.933098316192627,425
trial_0065,0.1,0.8,0.1,6.136436837060111,425,12.010689394814628,475,6.136436837060111,425
trial_0067,0.1,0.9,0.01,5.886972461427961,425,7.288774388177054,475,5.886972461427961,425
trial_0066,0.1,0.9,0.001,5.880164929798672,450,6.23608786719186,475,5.880164929798672,450
trial_0068,0.1,0.9,0.1,6.200887407575335,425,11.202930654798235,475,6.200887407575335,425
trial_0069,0.1,0.95,0.001,5.88692831993103,450,6.2357828957693915,475,5.88692831993103,450
trial_0071,0.1,0.95,0.1,6.2389703137534,50,12.305789198194232,475,6.2389703137534,50
trial_0070,0.1,0.95,0.01,5.98578667640686,425,7.32925660269601,475,5.98578667640686,425
trial_0072,0.1,0.99,0.001,5.890369244984218,275,6.268447296960013,475,5.890369244984218,275
trial_0073,0.1,0.99,0.01,5.930405684879848,425,7.386127608163016,475,5.930405684879848,425
trial_0074,0.1,0.99,0.1,6.23358280318124,50,11.56084782736642,475,6.23358280318124,50
